PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;DESIGNACIÓ-DESCRIPTIVA;POTENCIA;TIPUS DE CORRENT;INDENTIFICADOR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;NPLACES ESTACIÓ;TIPUS VEHICLE;Columna amb georeferència
Institut Català d'Energia i Ajuntament de Tortosa;;RAPID;CCS Combo2+ChadeMO+MENNEKES.F;4080762;52007;EdRsR-EdRR Tortosa (DC28W AC22kW) PIRVEC-15;28;AC-DC;PIRVEC-15;Avinguda de la Generalitat, 72;Tarragona;43;Tortosa;2;;POINT (0.52007 40.80762)
GAICU;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4140562;219299;(eDUM) El Parc i la Llacuna (7.4kW);75;AC;QC001;Carrer de la Llacuna, 149;Barcelona;8;Barcelona;2;mercaderies;POINT (2.19299 4140562)
Area Metropolitana de Barcelona;VIA PUBLICA (AMB);RAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.M+shucko;4141914;200113;EdRR Pallejà (DC50kW AC43kW) AMB7;50;AC-DC;AMB7;Ronda Santa Eulàlia-Carrer Joan Maragall;Barcelona;8;Pallejà;2;;POINT (2.00113 41.419140000000006)
Endesa;VIA PUBLICA;NORMAL;Schuko;4141162;2218508;06 AjBCN-Endesa-Forum-RamblaPrim;;;LC022;Rambla de Prim, 19;Barcelona;8;Barcelona;2;moto;POINT (2.218508 41.41162)
InterAparcament;APARCAMENT PUBLIC;NORMAL;Schuko;41378017;2176001;105 InterAparcament Rambla Plç.Colon;;;;Rambla de Santa Mònica, 20;Barcelona;8;Barcelona;2;cotxe;POINT (2.176001 41.378017)
Endesa;VIA PUBLICA;NORMAL;Schuko;4143491;2148409;03 AjBCN-Endesa Vall d'Hebron;;;LC032;Arquitecte Moragas,31 - Avinguda  Can Marcet,36;Barcelona;8;Barcelona;2;moto;POINT (2.148409 41.43491)
;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4119262;160395;EdRR Segur de Calafell (DC50kW-AC45kW);50;AC-DC;;Carretera Barcelona, 82;Tarragona;43;Segur de Calafell;;;POINT (1.60395 41.19262)
;VIA PUBLICA;NORMAL;Schuko;41377108;2119567;AjBCN-Pintor Tapiró;;;;Pintor Tapiró 2-6 - Travessera de les Corts;Barcelona;8;Barcelona;2;moto;POINT (2.119567 41.377108)
;;NORMAL;Schuko;4122512;15442;Les Mates - El Vendrell;;;;Carrer Les Mates 1;Tarragona;43;El Vendrell;4;cotxe i moto;POINT (1.5442 41.22512)
TESLA;VIA PUBLICA;superRAPID;TESLA;4075288;60629;TESLA Supercarregador - L'Aldea (120kW);120;DC;;P.I. Les Mercaderias N-235, N-340;Tarragona;43;L'Aldea;6;cotxe;POINT (0.60629 40.75288)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4123474;180399;TESLA Destinació - Hotel Sofia (22kW);22;AC;;Avinguda Sofia, 12;Barcelona;8;Sitges;2;cotxe;POINT (1.80399 41.23474)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;4137212;2156625;B:SM 7 - Ciutat del Teatre;;;BSM008;Carrer de la França Xica, 35;Barcelona;8;Barcelona;3;cotxe;POINT (2.156625 41.37212)
;;semiRAPID;CCS Combo2+ChadeMO+MENNEKES.F;4134179;170083;EdRsR Vilafranca del Penedés (DC25kW AC22kW);22;DC;;Camp del Cellerot;Barcelona;8;Vilafranca del Penedès;2;;POINT (1.70083 41.34179)
;;semiRAPID;2xMENNEKES.F;4202845;288814;EdRsR Celrà (AC22kW);22;AC;;Carrer de Just Puig (Canigó-Aumet);Girona;17;Celrà;;;POINT (2.88814 42.02845)
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;4137764;213894;Saba Aparcament Estació de Sants;;;;Plaça Joan Peiró;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.13894 41.37764)
Aparcament Pavelló municipal;APARCAMENT PUBLIC;NORMAL;Schuko;4,16408E+15;2,39889E+15;Aparcament Pavelló municipal;;;;Passatge Riera-Carrer Collsabadell;Barcelona;8;Llinars del Vallès;1;;POINT (2.398894988000393 41.64082638017494)
;;;MENNEKES.F + Schuko;4186187;266255;EdRsR Santa Coloma de Farners (AC22kW);22;AC;;Passatge Ajuntament, 16;Girona;17;Santa Coloma de Farners;2;;POINT (2.66255 41.86187)
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41454699911;2243362333;CC BCN-Illa Central;;;;Avinguda  Martí Pujol;Barcelona;8;Badalona;6;;POINT (2.2433623330000003 41.454699911000006)
Hotel Don Cándido;APARCAMENT HOTEL;NORMAL;MENNEKES.F+Schuko;41552551;2008381;Hotel Don Cándido;;;;Carrer Rambleta Pare Alegre, 98;Barcelona;8;Terrassa;3;cotxe i moto;POINT (2.008381 41.552551)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;414049;217729;B:SM 21 - Mercat Sagrada Família;;;BSM042;Carrer de Mallorca, 425-433;Barcelona;8;Barcelona;1;cotxe;POINT (2.17729 41.4049)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;416894;281794;TESLA Destinació - Hotel Santa Marta (22kW);22;AC;;Platja de Santa Cristina;Girona;17;Lloret de Mar;1;cotxe;POINT (2.81794 41.6894)
;;;4xMENNKES.F;4141297;201392;EdRsR Molins de Rei (AC22kW);22;AC;;Plaça de la Llibertat;Barcelona;8;Molins de Rei;4;;POINT (2.01392 41.41297)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;414033;2152327;B:SM 14 - Gràcia motos;;;BSM036;Carrer Gran de Gràcia, 190;Barcelona;8;Barcelona;2;moto;POINT (2.152327 41.4033)
Hotel Restaurant SAUSA;HOTEL-Restaurant;NORMAL;Schuko;4,20952E+15;2,89267E+15;Hotel Restaurant SAUSA;;;;Carretera N-II, km 732;Girona;17;Terradelles;1;;POINT (2.892667204141617 42.09517389742783)
Estabanell y Pahisa;VIA PUBLICA (codiQR);NORMAL;Schuko;41682718;22825619;EP-Estabanell y Pahisa-Antic Safareig;;;;Passeig del Congost - Carretera Nova;Barcelona;8;La Garriga;1;cotxe;POINT (2.2825619 41.682718)
;;semiRAPID;Schuko i MENNEKES.F;4184843;239057;EdRsR Viladrau (AC22kW);22;AC;;Carrer Balcells i Morató, 3;Girona;17;Viladrau;2;;POINT (2.39057 41.84843)
CORIO REAL ESTATE;APARCAMENT CC;NORMAL;Schuko;41375511;2182206;CC Maremagnum;;;;Moll d'Espanya, 5;Barcelona;8;Barcelona;5;cotxe i moto;POINT (2.182206 41.37551100000001)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;4141907;217938;B:SM Mercat del Guinardó;;;;Carrer de Teodor Llorente, 12;Barcelona;8;Barcelona;;cotxe i moto;POINT (2.17938 41.41907)
22@;VIA PUBLICA;NORMAL;Schuko;41396897;2200017;29 AjBCN-22@ Ciutat de Granada;;;LC024;Carrer de la Ciutat de Granada, 17;Barcelona;8;Barcelona;1;cotxe i moto;POINT (2.200017 41.396897)
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41454780677;2246644505;CC BCN-Manel Valls;;;;Plaça Manel Valls;Barcelona;8;Badalona;6;;POINT (2.246644505 41.454780677)
;;semiRAPID i NORMAL;MENNEKES.F + Schuko;4236972;298167;EdRsR Sant Climent Sescebes (AC22kW);22;AC;;Carrer de Icària, 14;Girona;17;Sant Climent Sescebes;1;cotxe i moto;POINT (2.98167 42.36972)
El Corte Inglés;APARCAMENT CC;NORMAL;Schuko;41387627;2128022;98 El Corte Inglés;;;;Avinguda Diagonal, 617;Barcelona;8;Barcelona;3;cotxe;POINT (2.128022 41.387627)
BIMSA;VIA PUBLICA;NORMAL;Schuko;41396282;2159285;Lateral-Mar Diagonal (Còrsega) 2;;;LC046;Avinguda Diagonal, 387;Barcelona;8;Barcelona;2;moto;POINT (2.159285 41.396282)
Endesa;VIA PUBLICA;NORMAL;Schuko;41438882;2181366;09 AjBCN-Endesa;;;LC018;Carrer Rio de Janeiro, 81 - Passeig Valldaura;Barcelona;8;Barcelona;2;moto;POINT (2.181366 41.438882)
CC BARNASUD;APARCAMENT CC P-1, Zona Carrefour;NORMAL;Schuko;41296209;2006457;CC BARNASUD;;;;Carrer del Progrés, 69 - Carrer de l'Energia, 30;Barcelona;8;Gavà;2;cotxe i moto;POINT (2.006457 41.296209)
;APARCAMENT PUBLIC;NORMAL;Schuko;41588539;2580349;Aparcament Mercury;;;;Riera Gavarra, 12;Barcelona;8;Canet de Mar;1;cotxe o moto;POINT (2.580349 41.588539000000004)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4139347;220446;EdRR-Vil·la Olimpica-ES Repsol-McDonald's (DC50kW AC43kW);50;AC-DC;FC001;Avinguda del Litoral,49,  Sortida 23- Carrer de Badajoz;Barcelona;8;Barcelona;1;cotxe;POINT (2.20446 41.39347)
TESLA Hotel Ibis;APARCAMENT HOTEL;superRAPID;TESLA;41998494;2817328;TESLA Supercarregador - Girona-Hotel IBIS-Costa Brava (120kW);120;DC;;Carrer Francesc Ferrer, 16-18;Girona;17;Girona;4;cotxe;POINT (2.817328 41.998494)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;414067;22184;B:SM 13 - García Fària;;;BSM012;Passeig de Garcia Fària, 71;Barcelona;8;Barcelona;2;cotxe;POINT (2.2184 41.4067)
Endesa;VIA PUBLICA;NORMAL;Schuko;41442436;2197319;07 AjBCN-Endesa La Maquinista;;;LC033;Carrer República Dominicana - Carrer de Potosí;Barcelona;8;Barcelona;2;moto;POINT (2.1973190000000002 41.442436)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41449138;2190748;B:SM 41 - Galicia;;;BSM034;Carrer de Galicia, 16;Barcelona;8;Barcelona;2;cotxe;POINT (2.190748 41.449138)
Endesa;VIA PUBLICA;NORMAL;Schuko;41392296;2132156;15 AjBCN-Endesa Sarrià-Ricard Villa;;;LC013;Avinguda  de Sarrià, 130;Barcelona;8;Barcelona;2;moto;POINT (2.132156 41.392296)
Ajuntament de Beuda;APARCAMENT PUBLIC;NORMAL;Schuko;4223771;271061;Ajuntament de Beuda;;;;Carrer major, GIV-5234;Girona;17;Beuda;2;cotxe i moto;POINT (2.71061 42.23771)
AMERSAM;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41149887;1105901;Aparcament Pastoreta;;;;Plaça Pastoreta, 10;Tarragona;43;Reus;2;cotxe i moto;POINT (1.105901 41.149887)
;;;;4108313;95859;EdRsR Mont-Roig del Camp Miami (AC22kW);22;AC;;Carrer de Soria, 17;Tarragona;43;Mont-Roig del Camp;;;POINT (0.95859 41.08313)
Endesa;VIA PUBLICA;NORMAL;Schuko;41444744;2174166;04 AjBCN-Endesa;;;LC017;Via Favència, 169 - Almansa;Barcelona;8;Barcelona;2;moto;POINT (2.174166 41.44474400000001)
Generalitat de Catalunya;Aparcament Estació;NORMAL;Schuko;4153044;208878;Intercanviador FGC Sant Quirze;;;FGCSQZE;Carretera de Molins de Rei - Avinguda Països Catalans;Barcelona;8;SANT QUIRZE DEL VALLÈS;2;cotxe i moto;POINT (2.08878 41.530440000000006)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41382737;2194412;B:SM 15 - Hospital del Mar;;;BSM031;Passeig  Marítim de la Barceloneta, 23-31;Barcelona;8;Barcelona;9;cotxe i moto;POINT (2.194412 41.382737)
Endesa;VIA PUBLICA;NORMAL;Schuko;41408447;2202893;08 AjBCN-Endesa;;;LC021;Carrer de Cristóbal de Moura,24 - Carrer de Bac de Roda;Barcelona;8;Barcelona;2;moto;POINT (2.202893 41.408447)
EUSAB;APARCAMENT CC;NORMAL;Schuko;4143054737;2218260673;Aparcament Plaça de la Vila;;;;Plaça de la Vila;Barcelona;8;Sant Adrià de Besòs;2;;POINT (2.218260673 41.43054737)
SABA;APARCAMENT PUBLIC;NORMAL;Schuko;41411869;2132823;80 SABA Cosmocaixa;;;;Carrer dels Quatre Camins, 89;Barcelona;8;Barcelona;2;cotxe;POINT (2.132823 41.411869)
;;;CCS Combo2+ChadeMO+MENNEKES.M;4137302;217892;EdRR-Port de Barcelona (DC50kW AC43kW);50;AC-DC;;;Barcelona;8;Barcelona;1;cotxe;POINT (2.17892 41.37302)
AMERSAM;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;4115034;1110766;Aparcament Carrilet;;;;Avinguda del Carrilet, 40;Tarragona;43;Reus;2;cotxe i moto;POINT (1.110766 41.15034)
Endesa;VIA PUBLICA;NORMAL;Schuko;41407269;2138413;16 AjBCN-Endesa;;;LC012;Carrer de Balmes,422 - Carrer de Castanyer;Barcelona;8;Barcelona;2;moto;POINT (2.138413 41.40726900000001)
;;semiRAPID i NORMAL;MENNEKES.F+Schuko;4151106;240104;EdRsR Cabrera-Burriac (AC22kW);22;AC;;Avinguda de Burriac, 24;Barcelona;8;Cabrera de Mar;2;cotxe i moto;POINT (2.40104 41.51106)
SERVICIOS MERIDIANA;APARCAMENT PUBLIC;NORMAL;Schuko;41402645;2202802;116 SERVICIOS MERIDIANA;;;;Passatge Saladrigas, 4-6;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.202802 41.402645)
Institut Català d'Energia i GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4138244;218361;EdRR-Pla de Palau  (DC50kW AC43kW);50;AC-DC;PIRVEC-10 + FC14;Pla de Palau, 4;Barcelona;8;Barcelona;1;cotxe;POINT (2.18361 41.38244)
Vincipark;APARCAMENT PUBLIC;NORMAL;Schuko;41373722;2170482;Aparcament Vincipark Vilà i Vilà;;;;Carrer de Vilà i Vilà, 44;Barcelona;8;Barcelona;3;cotxe i moto;POINT (2.170482 41.373722)
InterAparcament;APARCAMENT CC;NORMAL;Schuko;41392826;2163384;104 InterAparcament Boulevard Rosa;;;;Carrer de València 270;Barcelona;8;Barcelona;2;cotxe;POINT (2.163384 41.392826)
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;NORMAL;Schuko;41385166;2116051;084 ETSEIB;;;LC037;Carrer de Pasqual i Vila 22 - Avinguda  Diagonal;Barcelona;8;Barcelona;6;moto;POINT (2.116051 41.385166)
CC IKEA SABADELL;APARCAMENT CC;NORMAL;MENNEKES.F+Schuko;41511;21063;CC IKEA SABADELL (7.5kW);75;AC;;Carrer de Serra del Galliners- Pssg Sant Pau de Riu Sec;Barcelona;8;Sabadell;21;cotxe i moto;POINT (2.1063000000000005 41.511)
Institut Català d'Energia i GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41432965;2203728;EdRR-Fra Juniper Serra (DC50kW AC43kW);50;AC-DC;PIRVEC-9 + FC015;Carrer Fra Juniper Serra,  59;Barcelona;8;Barcelona;1;cotxe;POINT (2.203728 41.432965)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41398969;2153493;B:SM 57 - Plaça Gal·la Placídia;;;BAMSA002;Plaça de Gal·la Placídia, 2;Barcelona;8;Barcelona;1;cotxe;POINT (2.153493 41.398969)
ENGESTUR;APARCAMENT CC;NORMAL;Schuko;41443979302;2238902041;CC BCN-Països Catalans;;;;Plaça dels Països Catalans;Barcelona;8;Badalona;6;;POINT (2.238902041 41.443979302)
Endesa;VIA PUBLICA;NORMAL;Schuko;41390945;2196515;13 AjBCN-Endesa;;;LC034;Avinguda  d'Icària, 145 - Carrer de Rosa Censat, 14;Barcelona;8;Barcelona;2;moto;POINT (2.196515 41.390945)
;;semiRAPID;2xMENNEKES.F;4154151;189236;EdRsR Olesa 1 (AC22kW);22;AC;;Carrer d'Alfons Sala, 88;Barcelona;8;Olesa de Montserrat;;;POINT (1.8923600000000003 41.54151)
CC CARREFOUR MATARÓ;APARCAMENT CC;NORMAL;Schuko;4151978;2421356;CC CARREFOUR Cabrera de Mar;;;;Carretera N-II, km 644;Barcelona;8;Cabrera de Mar;2;cotxe i moto;POINT (2.421356 41.51978)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41399815;2123474;B:SM 32 - Porta de Sarrià;;;BSM023;Carrer de Salvador Mundí, 17;Barcelona;8;Barcelona;3;cotxe i moto;POINT (2.123474 41.399815)
Institut Català d'Energia i Ajuntament de Santa Perpètua de Mogoda;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4152752;218587;EdRR Sta.Perpetua de Mogoda -Jordi Cuixart- (DC50kW AC43kW+AC22kW) PIRVEC-12;50;AC-DC;PIRVEC-12;Passeig de la Florida-Avinguda Onze de setembre;Barcelona;8;Santa Perpetua de la Mogoda;2;;POINT (2.18587 41.52752)
Ajuntament de Sant Cugat del Vallès;VIA PUBLICA;NORMAL;Schuko;41469931;208801;Plaça. Mil·lenari-Auditori Sant Cugat;;;;Avinguda Pla del Vinyet 30T-Plaça Mil·lenari;Barcelona;8;Sant Cugat del Valles;2;cotxe i moto;POINT (2.08801 41.469931)
;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;4162044;61788;EdRsR Lleida (AC22kW);22;AC;;Carrer Magí Morera, 57;Lleida;25;Lleida;2;cotxe i moto;POINT (0.61788 41.62044)
HOTEL NH CONSTANZA;HOTEL;NORMAL;Schuko;413915983;2,17785E+15;HOTEL NH PODIUM;;;;Carrer de Bailén, 4-6;Barcelona;8;Barcelona;1;;POINT (2.177850499999977 41.3915983)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4182447;307745;TESLA Destinació - Salles Hotel & Spa Cala del Pi (22kW);22;AC;;Av. del Cavall Bernat, 160;Girona;17;Platja d'Aro;1;cotxe;POINT (3.07745 41.82447)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41383144;2150551;B:SM 55 - Calàbria-València;;;BAMSA008;Carrer de València,77 - Carrer de Calàbria, 182;Barcelona;8;Barcelona;1;cotxe;POINT (2.150551 41.383144)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41415125;2136311;EdRR-Alfons Comín-Vallcarca (DC50kW AC43kW);50;AC-DC;FC004;Plaça Alfons Comín, 12- Isaac Newton;Barcelona;8;Barcelona;1;cotxe;POINT (2.136311 41.415125)
PETROMIRALLES;ESTACIÓ SERVEI;NORMAL;Schuko;41588905;16218929;ES PetroMiralles;;;;Carrer Guimaraes, 2;Barcelona;8;Igualada;1;;POINT (1.6218929 41.588905)
;;;MENNEKES.F;4108438;1036;EdRsR Cooperativa de Cambrils (AC22kW);22;AC;;Carretera de Cambrils - Montbrió, km 2;Tarragona;43;Cambrils;2;;POINT (1.036 41.08438)
HOTEL NH CONSTANZA;HOTEL;NORMAL;Schuko;4138879;2136332;103 HOTEL NH CONSTANZA;;;;Carrer de Déu i Mata, 69;Barcelona;8;Barcelona;1;cotxe;POINT (2.136332 41.38879)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41442055;2177675;B:SM 31 - Plaça Francesc Layret;;;BSM022;Via Júlia, 95;Barcelona;8;Barcelona;4;cotxe i moto;POINT (2.177675 41.44205500000001)
Institut Català d'Energia i GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4137996;213914;EdRRx2-Estació Sants, Ap. Zona Autobusos (DC50kW AC43kW);50;AC-DC;PIRVEC-11 + FC003;Carrer Viriat, 5-23;Barcelona;8;Barcelona;2;cotxe;POINT (2.1391400000000003 41.37996)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41374588;214287;B:SM 45 - Vilardell;;;BAMSA012;Carrer de Vilardell, 20;Barcelona;8;Barcelona;1;cotxe;POINT (2.14287 41.374588)
BIMSA;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41393773;2149196;EdRRx2-Diagonal Aribau  (DC50kW AC43kW);50;AC-DC;FC012;Avinguda Diagonal, 445-447;Barcelona;8;Barcelona;1;cotxe;POINT (2.149196 41.393773)
BIMSA;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41374847;2171055;EdRR-Seu Endesa REE-TRYP APOLO  (DC50kW AC43kW);50;AC-DC;FC011;Avinguda  Paral·lel, 55;Barcelona;8;Barcelona;1;cotxe;POINT (2.171055 41.374847)
Ajuntament de Mollet;;semiRAPID i NORMAL;MENNEKES.F+Schuko;4153721;221108;EdRsR Mollet -Josep Rull- (AC22kW);22;AC;;Avinguda Burgos, 37;Barcelona;8;Mollet del Vallès;2;cotxe i moto;POINT (2.21108 41.53721)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41413015;2221156;B:SM 30 - Plaça del Fòrum;;;BSM027;Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.221156 41.413015)
CC CARREFOUR El Prat;APARCAMENT CC;NORMAL;Schuko;41335179;2088768;CC CARREFOUR El Prat;;;;Autovia Castelldefels km 194;Barcelona;8;El Prat de Llobregat;2;cotxe i moto;POINT (2.088768 41.335179000000004)
Ajuntament de Llinars del Vallès;;NORMAL;Schuko;41640184225;2399023735;Ajuntament de Llinars del Vallès;;;;Avinguda  Pau Casals, 26;Barcelona;8;Llinars del Vallès;1;;POINT (2.399023735 41.640184225)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41388797;2192651;B:SM 40 - Wellington - Zoo;;;BSM039;Carrer de Ramon Trias Fargas, 19;Barcelona;8;Barcelona;1;cotxe;POINT (2.192651 41.388797)
Institut Català d'Energia i Ajuntament de Mataró;;semiRAPID;2xMENNEKES.F;4154458;244729;EdRsR Mataró Rocafonda (AC22kW);22;AC;;Carrer Rocafonda, 2;Barcelona;8;Mataró;2;;POINT (2.44729 41.54458)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;414044;21972;B:SM 34 - Rambla Poblenou;;;BSM038;Rambla del Poblenou, 130;Barcelona;8;Barcelona;3;cotxe;POINT (2.1972 41.4044)
Endesa;VIA PUBLICA;NORMAL;Schuko;41420013;220167;10 AjBCN-Endesa Guipúscoa;;;LC023;Rambla de Guipúscoa, 103-105;Barcelona;8;Barcelona;2;moto;POINT (2.20167 41.420013)
BIMSA;VIA PUBLICA;NORMAL;Schuko;41396281;2159284;Lateral-Mar Diagonal (Còrsega) 1;;;LC045;Avinguda Diagonal, 387;Barcelona;8;Barcelona;2;moto;POINT (2.159284 41.396281)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4181987;296417;TESLA Destinació - Salles Hotel Mas Tapiolas (22kW);22;AC;;Carretera C-65 km. 7;Girona;17;Santa Cristina d'Aro;1;cotxe;POINT (2.96417 41.81987)
Institut Català d'Energia i Ajuntament de Sant Feliu de Guíxols;;semiRAPID;2xMENNEKES.F;4179432;301903;EdRsR Guíxols-Mas Trempat (AC22kW) PIRVEC-30;22;AC;PIRVEC-30;Carrer Mas Trempat, 1;Girona;17;Sant Feliu de Guíxols;2;;POINT (3.01903 41.79432)
Camping;APARCAMENT CAMPING;semiRAPID i NORMAL;MENNEKES.F+Schuko;4217743;310797;Camping Aquarius (AC22kW);22;AC;;Camí Vell a Sant Pere Pescador;Girona;17;Sant Pere Pescador;4;cotxe i moto;POINT (3.10797 42.17743)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;4227591;295365;TESLA Destinació - Hotel Empordà Figueres (11kW);11;AC;;Avinguda de Salvador Dalí i Domènech, 170;Girona;17;Figueres;1;cotxe;POINT (2.95365 42.27591)
Area Metropolitana de Barcelona;VIA PUBLICA (AMB);RAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.M+shucko;4129728;200811;EdRR Gavà (DC50kW AC43kW) AMB4;50;AC-DC;AMB4;Carrer del Progrès, 54;Barcelona;8;Gavà;4;cotxe i moto;POINT (2.00811 41.29728)
IBERDROLA SERVICIOS ENERGETICOS, SAU;VIA PUBLICA;NORMAL;Schuko;41393854;2108432;108 MOBECPOINT-IESE Pearson;;;LC038;Avinguda  de Pearson, 19;Barcelona;8;Barcelona;10;moto;POINT (2.108432 41.393854)
TESLA Hotel Mas la Boella;APARCAMENT HOTEL;superRAPID;TESLA+MENNEKES.F;41134761;1169125;TESLA Supercarregador - Tarragona - Hotel Mas la Boella (120kW);120;DC;;Autovia T-11 sortida 12, La Canonja;Tarragona;43;La Canonja;4;cotxe;POINT (1.169125 41.134761000000005)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41431152;2183394;EdRR-Meridiana-Estació BUS (DC50kW AC43kW);50;AC-DC;FC008;Avinguda Meridiana, 400E;Barcelona;8;Barcelona;1;cotxe;POINT (2.183394 41.431152)
Ajuntament de Rubí;;RAPID i semiRAPID;CCS Combo2+ChadeMO+MENNEKES.M+2xMENNEKES.F+2xSchucko;4148569;203037;EdRR Rubí FORMA -Joan Miró- (DC50kW AC43kW);50;AC-DC;;Rambleta Joan Miró;Barcelona;8;Rubí;5;cotxe i moto;POINT (2.03037 41.48569)
Institut Català d'Energia i Ajuntament d'Olot;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4218898;249879;EdRR Olot 2 La Rodona (DC50kW AC22kW) PIRVEC-17;50;AC-DC;PIRVEC-17;Carretera de les Tries, 1;Girona;17;Olot;2;;POINT (2.49879 42.18898)
Institut Català d'Energia i GESTVIA Calella;;semiRAPID i NORMAL;MENNEKES.F + Schuko;4161658;266029;EdRsR Calella (AC22kW) PIRVEC-23;22;AC;PIRVEC-23;Carrer de Sant Joan - Carretera N-II;Barcelona;8;Calella;2;;POINT (2.66029 41.61658)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41414478;2172243;EdRR-Mas Casanova - H Sant Pau (DC50kW AC43kW);50;AC-DC;FC007;Carrer de Mas Casanova, 69;Barcelona;8;Barcelona;1;cotxe;POINT (2.172243 41.414478)
